iso3,year,gdp_pc,gdp_growth,trade_openness,resource_rents,urbanization,military_spending
ABW,1970,,,,,62.4134506299803,
ABW,1971,,,,,62.9284179589446,
ABW,1972,,,,,63.4364883458941,
ABW,1973,,,,,63.9279380479301,
ABW,1974,,,,,64.393043322154,
ABW,1975,,,,,64.822080425667,
ABW,1976,,,,,65.2053256155704,
ABW,1977,,,,,65.5330551489654,
ABW,1978,,,,,65.7955452829535,
ABW,1979,,,,,65.9830722746357,
ABW,1980,,,,,66.0859123811135,
ABW,1981,,,,,66.0991174416016,
ABW,1982,,,,,66.0706191076215,
ABW,1983,,,,,66.0149065385293,
ABW,1984,,,,,65.9393526607032,
ABW,1985,,,,,65.85044772886,
ABW,1986,16150.6510725001,,,0.00087802987012987,65.7546819977163,
ABW,1987,18992.0683778812,16.0784313755902,,0.000734242709867452,65.6585457219888,
ABW,1988,22468.5071202357,18.6486486682331,,0.000575055457463885,65.5685291563943,
ABW,1989,24730.3964479092,12.1298405451924,,0.000491267194492255,65.4911225556494,
ABW,1990,24763.6538099384,3.96140172360629,,0.00155226229781905,65.4328161744708,
ABW,1991,25460.3630272927,7.96287173232642,,0.00163386762871304,65.4009220636969,
ABW,1992,25743.4455010025,5.88235395341866,,0.00137919973940525,65.3905890889858,
ABW,1993,25870.1533960504,7.30769324531406,,0.000925240173915881,65.3844666218501,
ABW,1994,26581.9767488997,8.20390129312089,,0.000937261565324962,65.3800478100985,
ABW,1995,26504.1864180809,2.54714368704694,171.362098138748,0.00116658771218565,65.376703433065,
ABW,1996,25779.5979282247,1.18578851134656,175.344129554656,0.00081940211530906,65.3738042700838,
ABW,1997,26547.4166076696,7.04687499241221,168.781911013858,0.00100250493075445,65.3707211004889,
ABW,1998,26418.0883302727,1.99198444906199,163.267359946327,0.000848352981616005,65.3668247036146,
ABW,1999,26384.8105935137,1.2380418420716,164.559014267185,0.000717901853338623,65.3614858587949,
ABW,2000,28104.8954362859,7.62292064930222,145.072879516204,0.00166277142064697,65.3545497799987,
ABW,2001,29007.7386958774,4.1820016304779,140.391108618306,0.0014191795529938,65.3351137913914,
ABW,2002,28535.4639480222,-0.944953481157384,133.230771421249,0.00137100806940249,65.2820691308217,
ABW,2003,28525.8077063839,1.11050459944282,132.794291274023,0.00145277793252244,65.1982922587168,
ABW,2004,29959.7748189582,7.29372807096192,132.430929795173,0.00158368130684963,65.0886533661558,
ABW,2005,29081.7066997897,-0.383137672063768,145.050280144237,0.00197275799182091,64.9580226442175,
ABW,2006,28885.9118700469,1.12741146411624,141.042626734626,0.002449482525579,64.811270283981,
ABW,2007,29556.8384686554,3.0895443848509,139.972309491093,0.00243696444079606,64.6532664765254,
ABW,2008,29870.6648077005,1.83575517191368,139.110149824701,0.00287298171598646,64.4888814129295,
ABW,2009,26204.0597361984,-11.6777413693852,137.556575933708,0.0020412189607002,64.3229852842726,
ABW,2010,25429.2180974853,-2.73345679250639,135.464654677581,0.00387013761309746,64.1612965549477,
ABW,2011,26093.0542083227,3.36923718421511,154.437786862887,0.00380977060432498,63.9992605838571,
ABW,2012,25444.7336646687,-1.04079988436683,156.645197205944,0.00340775585550675,63.8252085199599,
ABW,2013,26680.1411206342,6.43146080719245,155.731904417046,0.00245165331607624,63.6382914355326,
ABW,2014,26773.8226808518,1.42609864257801,156.491052766236,0.00323517161852513,63.4392531303795,
ABW,2015,27458.2201537506,3.61147995361162,140.493001133496,0.00238765944448716,63.2288374043053,
ABW,2016,27587.2498040483,1.23433537363427,136.887263320827,0.0033437423337293,63.0077880571142,
ABW,2017,28548.8904317739,3.49342985290626,138.716620095236,0.00282719063862959,62.7768488886109,
ABW,2018,29419.208623316,3.21247111920076,138.824972245657,0.00188469168678285,62.5367636985996,
ABW,2019,29699.1805366222,1.22511225158814,137.9619293134,0.00168011577104813,62.288276286885,
ABW,2020,22729.8897593533,-23.8979898352395,122.723738046404,0.00303719334778541,62.0028837566365,
ABW,2021,26292.9179363154,14.7306159219273,139.917797708768,0.0020661282461218,61.9275339886843,
ABW,2022,29195.2670227422,10.6364309604414,160.634546418015,,61.8811657924257,
ABW,2023,31430.9353682253,7.70679839650956,159.018596924652,,61.8351492675589,
ABW,2024,33373.9174591266,6.81077669324542,160.365278789947,,61.7909396819594,
AFE,1970,1381.68360137419,1.11251281717584,,5.15340759088059,17.3391453677373,2.04115812416206
AFE,1971,1415.95863100733,5.48226397553549,,4.14799865862706,17.6776253340453,2.17421723781396
AFE,1972,1414.3122617723,2.76376404320553,,3.9508180317708,18.0414446048655,2.15361846098594
AFE,1973,1437.08015510413,4.621172092349,,5.65831005022978,18.4165839044054,2.30965061799518
AFE,1974,1471.29527680693,5.47238614419541,,6.29121429444192,18.7846219299136,2.67543470385564
AFE,1975,1448.56924750889,1.37454746747537,,5.16494007957809,19.1466187210624,3.15886454416199
AFE,1976,1439.98124585974,2.34985603389734,,5.72117341053043,19.4953455274938,3.65072312663943
AFE,1977,1415.34840678402,1.11027852130867,,6.18367428662471,19.8365091026403,3.99368696162701
AFE,1978,1394.00452517871,1.48086468187634,,5.34823960892053,20.1682614121293,4.15749788793389
AFE,1979,1390.61879610611,2.92796187333259,,7.47813819146084,20.4981090939751,3.95889701231683
AFE,1980,1423.11303808164,5.45218480068009,,11.5168025929171,20.8433172860217,3.71312834203997
AFE,1981,1433.9740893773,3.92867241248305,,9.30345092145679,21.1670112648211,3.82504565059919
AFE,1982,1392.88662033812,0.308938009511749,,9.44186168986529,21.4903837159971,3.9520573025223
AFE,1983,1350.78735716463,0.0636059787264571,,8.19684035263133,21.8611551587153,3.9561010700511
AFE,1984,1355.04785614544,3.40563887072776,,6.05246832444664,22.2807384756766,3.96536848994993
AFE,1985,1313.72659606602,-0.0858651075100312,,8.74268917604163,22.7402422863894,3.66302617485731
