indicator,factor_1,factor_2,factor_3,factor_4,factor_5,factor_6,factor_7,factor_8,factor_9,factor_10,factor_11,factor_12,factor_13,factor_14,factor_15
v2x_polyarchy,-1.1012160978971974,0.35694821664153775,-0.21250646267028325,0.7779664247938751,-0.8314512988898146,-0.4030361404401143,-0.5859489048953168,0.12615395853359054,0.5166674094155751,0.5647321086928125,-0.015065861794530223,-0.49314627059431976,0.13797074204695467,-0.11662822985573157,0.0029771384905597836
v2x_libdem,-1.1018089051104976,-0.2584973706559362,-0.2279304194232383,0.8263481000423483,-0.48242152301311414,-0.6242998741403005,-0.4514431724995029,0.7003671354764773,-0.004270009658399189,0.8196833317967019,0.004921953026688364,-0.4190028087341208,0.6678243285199912,-0.6205538457975871,0.3728077487386
v2x_partipdem,-1.077382885838844,0.1636813592343049,-0.2808606946394115,1.0040643187076788,-0.5546040682225233,-1.5912651195009855,-0.775644870440008,-0.3386153782811335,-0.46239496799516655,-0.47446272669085654,0.2544817288133206,-0.9633559118344224,0.22881207207592594,-0.14219120254391782,0.6361066817651846
v2x_delibdem,-1.092143805131464,-0.12092589874639163,-0.2456219750973063,0.8263076883597373,-0.559710163786512,-0.9702395524155095,-0.707795354903422,0.44756092858529645,-0.23390035244178262,0.7815816069897283,-0.2605900131606471,0.6399220916787758,0.7300172437765309,-0.6691283592291656,0.12534341353642914
v2x_egaldem,-1.076967987863396,-0.3955372141007898,0.5783459258193853,0.6660731175978196,-0.8563444350071548,-0.7195196339500206,-1.4206425282916277,0.9575002969188227,-0.5345838883189002,0.668134789599441,-0.023966517486285092,0.09006095576031196,-0.6238722386957739,-0.4732868818306527,0.3858010343567976
v2x_liberal,-1.0910744750862713,-0.41120067485334055,-0.5496475806401518,-0.09647963084307999,0.7176516088049811,0.5696610585444944,1.0685995063873384,1.2700971725829786,-0.5553936977285607,0.07385929869470946,0.12948955514996707,-0.25154328199927556,0.4667910127626855,0.11925524282195768,-0.29105997630362146
v2x_partip,-0.9734552207075529,0.7961735437869327,-0.659190376782349,0.5165042640630746,0.7503612236758793,-2.081063666772187,0.351860864906119,-1.6254695349575161,-1.8996662796937338,-3.4498364806298056,0.8834554804260277,-1.3607685816568063,-0.6757364626988664,0.9549038043639493,0.2545471150758915
v2x_egal,-0.9145916002428556,-0.929958490205531,1.951723774297292,-0.5881189622024228,-0.2974437757712947,0.39961657274137424,-1.6123878327157009,1.9958606309500755,-2.1327030631445485,-0.5494872941221678,0.2789192761909794,0.8995410183022171,-3.2058563320620648,0.8760528866130698,-0.3756651745298068
v2x_accountability,-1.1052709745217337,0.29812873234849807,-0.7944480869296585,0.07751431712463187,0.2570814474828235,-0.017174046475070735,0.1778976897543253,0.13262015241347141,0.08687287186931186,0.26530787038384435,0.023579557022000062,0.8849988667277672,0.4462757092004756,0.7135598769531128,-0.531476437803957
v2x_rule,-1.0138811147269857,-1.4875161394352951,-0.019056791256124507,0.17536460961088882,0.3019438715908997,0.9457985531700104,0.9007731061493071,-0.21800291600952382,0.07378484395468624,-0.1469892901634772,-0.16743069222257678,-0.5562837283626656,-0.3140539613835298,-0.4064811493397523,0.1749854273774923
v2x_corr,0.8550017995695917,2.216066140731131,-0.6895714028099666,-0.44016288785491536,0.35390705651882565,-0.5861586657586869,-0.008908256604407583,1.6407688235818456,-0.6356871031903419,0.1477708304882811,0.20128050405846576,-0.21386047240262082,0.3979634414441015,0.17761238430620116,-0.35791112141196757
v2x_pubcorr,0.8951775134225247,1.9304747514543867,-0.525223273340329,-0.5459092375956005,0.4325432874470238,-0.9532598053190673,0.2013846850294856,2.0618131543312823,0.09914570804852167,-0.12160990599371259,0.1931105351976669,-0.22132439284877553,0.14653568416109392,0.1573962312523849,3.5576194419331433
v2x_execorr,0.8958174662104503,1.925244154249154,-0.7258356944425767,-0.6168072516914184,0.0476741444808783,-0.6507407605396122,-0.05548727206780257,1.7264562450540686,-0.6207613575254398,0.755134707615755,0.024738385696822244,-1.2242597896443073,-0.9150461549436684,-1.372710048898329,-3.1588931015800523
v2x_neopat,1.048646646101645,1.1344229355962685,0.1639817325374722,-0.6431315600490796,-0.6208810660513306,-0.4584430073136265,-1.2131143947946819,-0.43837312749998797,-0.0007808196789502121,-0.22829715139787374,-0.10422993434807123,0.49558050582355945,0.17625401784095207,0.19738095230961558,-0.466361455434802
v2x_civlib,-1.0792746270017493,0.2956736203393208,-0.4444879513579859,-1.392685862714809,-0.022922414270068567,0.66001677560405,-0.5942931099880059,0.38080019284971484,0.9092426638499186,-0.9663517222384707,-0.2521627170633388,-0.07713522476420695,0.2431081340721296,-0.14333576460642153,0.12692734359651414
v2x_clphy,-0.9856130346774198,-0.5786850847215647,-0.08649759148692668,-1.669318636471783,-0.6616337643745084,0.7620022635282382,-0.9197013207414207,1.8801374949419634,2.077634302882948,-3.200030197656739,1.1641872128579018,0.20887713246229955,1.1752565926734817,-1.4103710802651102,-0.24053025531133218
v2x_clpol,-1.068473606569831,0.7173547825596506,-0.9309384917227824,-0.5892015410939154,0.14710035570242896,0.23469021357730852,-0.20617566885511734,-0.2934937443075138,1.2230757914452373,0.2828904277591146,-0.20943584485043262,0.39023171160737763,-1.3336267468063512,1.2111747308038814,0.2491388559624118
v2x_clpriv,-1.0172581533235299,0.7659583637468895,-0.23230276064103314,-1.7619481937449546,0.5036453337863324,0.9329718511258361,-0.5510669835204555,-0.5867805511707563,-0.8576120823530936,0.28888048667922317,-1.8579374056352418,-0.9230016826155375,0.8628450542609808,-0.18102637214453704,0.34799681216047085
v2x_freexp_altinf,-1.0569089181829272,0.6874828834072029,-1.1470274950551675,-0.3991706365939837,0.2533034646206834,-0.14522502599689896,-0.22583357774275453,-0.038177854618333076,0.7782502689692326,0.6137511043601024,-0.3523890656965138,1.3689866016529364,-1.0052566354464993,1.0305813464556752,0.5116134907257092
v2x_frassoc_thick,-1.0398946708557348,0.9225684808899136,-0.9050144449119456,-0.3616235776468313,0.2015302918833591,0.487518157743452,-0.043898101955175614,-0.6466828871300565,1.3647382363255944,0.5686469648197662,-0.23027304386751601,-1.0629258421302206,-1.7015190849430513,1.6224348591860092,-0.46228677903882365
